# IRC Energy Data
# Step  Energy(Eh)  Relative(kcal/mol)
     0   -399.0893745850       -0.3194
    -1   -399.0895586849       -0.4349
    -2   -399.0896808530       -0.5116
    -3   -399.0899335801       -0.6702
    -4   -399.0902051279       -0.8406
    -5   -399.0904601211       -1.0006
    -6   -399.0906945289       -1.1477
    -7   -399.0909091216       -1.2823
    -8   -399.0910953922       -1.3992
    -9   -399.0912509829       -1.4968
   -10   -399.0913009455       -1.5282
   -11   -399.0913189112       -1.5395
   -12   -399.0913491034       -1.5584
   -13   -399.0913777878       -1.5764
   -14   -399.0914028869       -1.5922
     0   -399.0888656065        0.0000
     1   -399.0889338335       -0.0428
     2   -399.0889549529       -0.0561
     3   -399.0890009110       -0.0849
     4   -399.0890190632       -0.0963
     5   -399.0890587389       -0.1212
     6   -399.0890995934       -0.1468
     7   -399.0891391904       -0.1717
     8   -399.0891789998       -0.1967
     9   -399.0892180705       -0.2212
    10   -399.0892579096       -0.2462
    11   -399.0892967918       -0.2706
    12   -399.0893366958       -0.2956
    13   -399.0893745431       -0.3194
    14   -399.0894079537       -0.3403
    15   -399.0894513571       -0.3676
    16   -399.0894868276       -0.3898
    17   -399.0895276539       -0.4154
    18   -399.0895667142       -0.4400
    19   -399.0896062263       -0.4647
