step,energy_unit,energy_raw,energy_kJmol,delta_kJmol,converged
1,hartree,-399.081036475334,-1047787.1167986541,32.29167677462101,True
2,hartree,-399.088543198191,-1047806.8256967978,12.582778630894609,True
3,hartree,-399.089395278094,-1047809.0628322746,10.345643154112622,True
4,hartree,-399.090363403453,-1047811.6046450542,7.80383037449792,True
5,hartree,-399.091636786878,-1047814.9479127756,4.460562653141096,True
6,hartree,-399.091889453932,-1047815.6112900345,3.797185394214466,True
7,hartree,-399.093031797002,-1047818.6105113513,0.7979640774428844,True
8,hartree,-399.093230241868,-1047819.1315282751,0.2769471536157653,True
9,hartree,-399.093288818697,-1047819.2853217183,0.12315371038857847,True
10,hartree,-399.093300697561,-1047819.3165096715,0.09196575719397515,True
11,hartree,-399.093320450507,-1047819.368371024,0.04010440467391163,True
12,hartree,-399.093325524685,-1047819.3816932765,0.026782152242958546,True
13,hartree,-399.093330756484,-1047819.395429363,0.013046065694652498,True
14,hartree,-399.093332608491,-1047819.4002918066,0.008183622150681913,True
15,hartree,-399.093332836584,-1047819.4008906648,0.007584763923659921,True
16,hartree,-399.093334739943,-1047819.405887933,0.0025874957209452987,True
17,hartree,-399.093335725468,-1047819.4084754287,0.0,True
18,hartree,-399.091042891996,-1047813.3886419778,6.019833450904116,True
19,hartree,-399.092945067205,-1047818.3828023005,1.0256731281988323,True
20,hartree,-399.093126165997,-1047818.8582771133,0.5501983154099435,True
21,hartree,-399.093206349149,-1047819.0687979499,0.3396774787688628,True
22,hartree,-399.093238892375,-1047819.154240178,0.2542352507589385,True
23,hartree,-399.093248795284,-1047819.1802402621,0.22823516663629562,True
24,hartree,-399.093260575733,-1047819.2111698266,0.1973056021379307,True
25,hartree,-399.093261771892,-1047819.2143103416,0.19416508707217872,True
26,hartree,-399.09096405041,-1047813.1816434223,6.226832006359473,True
27,hartree,-399.092843388914,-1047818.1158459843,1.292629444389604,True
28,hartree,-399.093010033571,-1047818.5533714709,0.8551039578160271,True
29,hartree,-399.093084204187,-1047818.7481063964,0.6603690322954208,True
