step,energy_hartree,energy_kJmol,delta_kJmol
1,-399.093335725468,-1047819.4084754287,0.0
2,-399.093261771892,-1047819.2143103416,0.19416508707217872
3,-399.093129322836,-1047818.8665653929,0.5419100357685238
4,-399.093073023639,-1047818.7187518717,0.6897235569776967
5,-399.092768259307,-1047817.9185932283,1.489882200374268
6,-399.092405006265,-1047816.9648724981,2.443602930638008
7,-399.091881400577,-1047815.5901459537,3.8183294750051573
8,-399.091243774658,-1047813.9160593342,5.492416094522923
9,-399.09052968506,-1047812.0412173532,7.367258075508289
10,-399.089786266714,-1047810.0893727548,9.319102673907764
11,-399.089115548734,-1047808.3284029412,11.080072487471625
12,-399.088636117569,-1047807.0696565912,12.338818837539293
13,-399.088466598798,-1047806.6245851191,12.783890309627168
14,-399.088678107471,-1047807.1799010636,12.228574365144596
15,-399.089284981339,-1047808.7732481844,10.635227244347334
16,-399.090221865524,-1047811.2330372728,8.175438155885786
17,-399.091272862959,-1047813.992430658,5.416044770739973
18,-399.092026273355,-1047815.9705093799,3.437966048833914
19,-399.091729290269,-1047815.1907803951,4.217695033643395
20,-399.089109139575,-1047808.3115756966,11.096899732132442
