step,distance_angstrom,energy_hartree,energy_kJmol,delta_kJmol
1,3.0,-399.093335725468,-1047819.4084754287,0.0
2,2.9210526315789473,-399.093261771892,-1047819.2143103416,0.19416508707217872
3,2.8421052631578947,-399.093129322836,-1047818.8665653929,0.5419100357685238
4,2.763157894736842,-399.093073023639,-1047818.7187518717,0.6897235569776967
5,2.6842105263157894,-399.092768259307,-1047817.9185932283,1.489882200374268
6,2.6052631578947367,-399.092405006265,-1047816.9648724981,2.443602930638008
7,2.526315789473684,-399.091881400577,-1047815.5901459537,3.8183294750051573
8,2.4473684210526314,-399.091243774658,-1047813.9160593342,5.492416094522923
9,2.3684210526315788,-399.09052968506,-1047812.0412173532,7.367258075508289
10,2.2894736842105265,-399.089786266714,-1047810.0893727548,9.319102673907764
11,2.2105263157894735,-399.089115548734,-1047808.3284029412,11.080072487471625
12,2.1315789473684212,-399.088636117569,-1047807.0696565912,12.338818837539293
13,2.0526315789473686,-399.088466598798,-1047806.6245851191,12.783890309627168
14,1.9736842105263157,-399.088678107471,-1047807.1799010636,12.228574365144596
15,1.894736842105263,-399.089284981339,-1047808.7732481844,10.635227244347334
16,1.8157894736842106,-399.090221865524,-1047811.2330372728,8.175438155885786
17,1.736842105263158,-399.091272862959,-1047813.992430658,5.416044770739973
18,1.6578947368421053,-399.092026273355,-1047815.9705093799,3.437966048833914
19,1.5789473684210527,-399.091729290269,-1047815.1907803951,4.217695033643395
20,1.5,-399.089109139575,-1047808.3115756966,11.096899732132442
