Frequencies (cm^-1): min=-250.51, neg_count=2
Negative indices: [6, 7]
STATUS: TOO_MANY

All frequencies:
  0:       0.00 cm^-1  (trans/rot)
  1:       0.00 cm^-1  (trans/rot)
  2:       0.00 cm^-1  (trans/rot)
  3:       0.00 cm^-1  (trans/rot)
  4:       0.00 cm^-1  (trans/rot)
  5:       0.00 cm^-1  (trans/rot)
  6:    -250.51 cm^-1  ***imaginary***
  7:      -1.47 cm^-1  ***imaginary***
  8:      60.24 cm^-1
  9:      80.72 cm^-1
  10:     130.70 cm^-1
  11:     236.94 cm^-1
  12:     266.81 cm^-1
  13:     348.47 cm^-1
  14:     412.68 cm^-1
  15:     447.98 cm^-1
  16:     553.70 cm^-1
  17:     705.82 cm^-1
  18:     799.70 cm^-1
  19:     965.79 cm^-1
  20:    1017.30 cm^-1
  21:    1046.91 cm^-1
  22:    1060.01 cm^-1
  23:    1113.96 cm^-1
  24:    1223.36 cm^-1
  25:    1252.91 cm^-1
  26:    1324.75 cm^-1
  27:    1329.21 cm^-1
  28:    1385.96 cm^-1
  29:    1395.95 cm^-1
  30:    1471.61 cm^-1
  31:    1508.00 cm^-1
  32:    1537.68 cm^-1
  33:    1650.76 cm^-1
  34:    2186.75 cm^-1
  35:    3036.66 cm^-1
  36:    3072.26 cm^-1
  37:    3074.42 cm^-1
  38:    3121.24 cm^-1
  39:    3525.08 cm^-1
  40:    3600.36 cm^-1
  41:    3850.02 cm^-1
