Frequencies (cm^-1): min=-250.90, neg_count=1
Negative indices: [6]
STATUS: CONVERGED

All frequencies:
  0:       0.00 cm^-1  (trans/rot)
  1:       0.00 cm^-1  (trans/rot)
  2:       0.00 cm^-1  (trans/rot)
  3:       0.00 cm^-1  (trans/rot)
  4:       0.00 cm^-1  (trans/rot)
  5:       0.00 cm^-1  (trans/rot)
  6:    -250.90 cm^-1  ***imaginary***
  7:       4.54 cm^-1
  8:      60.24 cm^-1
  9:      80.44 cm^-1
  10:     130.91 cm^-1
  11:     238.03 cm^-1
  12:     266.50 cm^-1
  13:     348.25 cm^-1
  14:     412.34 cm^-1
  15:     447.93 cm^-1
  16:     553.62 cm^-1
  17:     705.85 cm^-1
  18:     799.76 cm^-1
  19:     965.42 cm^-1
  20:    1017.30 cm^-1
  21:    1046.93 cm^-1
  22:    1059.72 cm^-1
  23:    1113.90 cm^-1
  24:    1223.32 cm^-1
  25:    1252.72 cm^-1
  26:    1324.77 cm^-1
  27:    1329.20 cm^-1
  28:    1385.94 cm^-1
  29:    1396.04 cm^-1
  30:    1471.57 cm^-1
  31:    1508.06 cm^-1
  32:    1537.72 cm^-1
  33:    1650.96 cm^-1
  34:    2186.72 cm^-1
  35:    3036.70 cm^-1
  36:    3072.29 cm^-1
  37:    3074.49 cm^-1
  38:    3121.34 cm^-1
  39:    3524.76 cm^-1
  40:    3600.11 cm^-1
  41:    3849.91 cm^-1
